,Date,Industrial_prod
4402,2019-05-20,103.4846
4403,2019-05-21,103.4846
4404,2019-05-22,103.4846
4405,2019-05-23,103.4846
4406,2019-05-24,103.4846
4407,2019-05-25,103.4846
4408,2019-05-26,103.4846
4409,2019-05-27,103.4846
4410,2019-05-28,103.4846
4411,2019-05-29,103.4846
4412,2019-05-30,103.4846
4413,2019-05-31,103.4846
4414,2019-06-01,102.3815
4415,2019-06-02,102.3815
4416,2019-06-03,102.3815
4417,2019-06-04,102.3815
4418,2019-06-05,102.3815
4419,2019-06-06,102.3815
4420,2019-06-07,102.3815
4421,2019-06-08,102.3815
4422,2019-06-09,102.3815
4423,2019-06-10,102.3815
4424,2019-06-11,102.3815
4425,2019-06-12,102.3815
4426,2019-06-13,102.3815
4427,2019-06-14,102.3815
4428,2019-06-15,102.3815
4429,2019-06-16,102.3815
4430,2019-06-17,102.3815
4431,2019-06-18,102.3815
4432,2019-06-19,102.3815
4433,2019-06-20,102.3815
4434,2019-06-21,102.3815
4435,2019-06-22,102.3815
4436,2019-06-23,102.3815
4437,2019-06-24,102.3815
4438,2019-06-25,102.3815
4439,2019-06-26,102.3815
4440,2019-06-27,102.3815
4441,2019-06-28,102.3815
4442,2019-06-29,102.3815
4443,2019-06-30,102.3815
4444,2019-07-01,101.9804
4445,2019-07-02,101.9804
4446,2019-07-03,101.9804
4447,2019-07-04,101.9804
4448,2019-07-05,101.9804
4449,2019-07-06,101.9804
4450,2019-07-07,101.9804
4451,2019-07-08,101.9804
4452,2019-07-09,101.9804
4453,2019-07-10,101.9804
4454,2019-07-11,101.9804
4455,2019-07-12,101.9804
4456,2019-07-13,101.9804
4457,2019-07-14,101.9804
4458,2019-07-15,101.9804
4459,2019-07-16,101.9804
4460,2019-07-17,101.9804
4461,2019-07-18,101.9804
4462,2019-07-19,101.9804
4463,2019-07-20,101.9804
4464,2019-07-21,101.9804
4465,2019-07-22,101.9804
4466,2019-07-23,101.9804
4467,2019-07-24,101.9804
4468,2019-07-25,101.9804
4469,2019-07-26,101.9804
4470,2019-07-27,101.9804
4471,2019-07-28,101.9804
4472,2019-07-29,101.9804
4473,2019-07-30,101.9804
4474,2019-07-31,101.9804
4475,2019-08-01,102.2813
4476,2019-08-02,102.2813
4477,2019-08-03,102.2813
4478,2019-08-04,102.2813
4479,2019-08-05,102.2813
4480,2019-08-06,102.2813
4481,2019-08-07,102.2813
4482,2019-08-08,102.2813
4483,2019-08-09,102.2813
4484,2019-08-10,102.2813
4485,2019-08-11,102.2813
4486,2019-08-12,102.2813
4487,2019-08-13,102.2813
4488,2019-08-14,102.2813
4489,2019-08-15,102.2813
4490,2019-08-16,102.2813
4491,2019-08-17,102.2813
4492,2019-08-18,102.2813
4493,2019-08-19,102.2813
4494,2019-08-20,102.2813
4495,2019-08-21,102.2813
4496,2019-08-22,102.2813
4497,2019-08-23,102.2813
4498,2019-08-24,102.2813
4499,2019-08-25,102.2813
4500,2019-08-26,102.2813
4501,2019-08-27,102.2813
4502,2019-08-28,102.2813
4503,2019-08-29,102.2813
4504,2019-08-30,102.2813
4505,2019-08-31,102.2813
4506,2019-09-01,101.1782
4507,2019-09-02,101.1782
4508,2019-09-03,101.1782
4509,2019-09-04,101.1782
4510,2019-09-05,101.1782
4511,2019-09-06,101.1782
4512,2019-09-07,101.1782
4513,2019-09-08,101.1782
4514,2019-09-09,101.1782
4515,2019-09-10,101.1782
4516,2019-09-11,101.1782
4517,2019-09-12,101.1782
4518,2019-09-13,101.1782
4519,2019-09-14,101.1782
4520,2019-09-15,101.1782
4521,2019-09-16,101.1782
4522,2019-09-17,101.1782
4523,2019-09-18,101.1782
4524,2019-09-19,101.1782
4525,2019-09-20,101.1782
4526,2019-09-21,101.1782
4527,2019-09-22,101.1782
4528,2019-09-23,101.1782
4529,2019-09-24,101.1782
4530,2019-09-25,101.1782
4531,2019-09-26,101.1782
4532,2019-09-27,101.1782
4533,2019-09-28,101.1782
4534,2019-09-29,101.1782
4535,2019-09-30,101.1782
4536,2019-10-01,100.6769
4537,2019-10-02,100.6769
4538,2019-10-03,100.6769
4539,2019-10-04,100.6769
4540,2019-10-05,100.6769
4541,2019-10-06,100.6769
4542,2019-10-07,100.6769
4543,2019-10-08,100.6769
4544,2019-10-09,100.6769
4545,2019-10-10,100.6769
4546,2019-10-11,100.6769
4547,2019-10-12,100.6769
4548,2019-10-13,100.6769
4549,2019-10-14,100.6769
4550,2019-10-15,100.6769
4551,2019-10-16,100.6769
4552,2019-10-17,100.6769
4553,2019-10-18,100.6769
4554,2019-10-19,100.6769
4555,2019-10-20,100.6769
4556,2019-10-21,100.6769
4557,2019-10-22,100.6769
4558,2019-10-23,100.6769
4559,2019-10-24,100.6769
4560,2019-10-25,100.6769
4561,2019-10-26,100.6769
4562,2019-10-27,100.6769
4563,2019-10-28,100.6769
4564,2019-10-29,100.6769
4565,2019-10-30,100.6769
4566,2019-10-31,100.6769
4567,2019-11-01,100.7771
4568,2019-11-02,100.7771
4569,2019-11-03,100.7771
4570,2019-11-04,100.7771
4571,2019-11-05,100.7771
4572,2019-11-06,100.7771
4573,2019-11-07,100.7771
4574,2019-11-08,100.7771
4575,2019-11-09,100.7771
4576,2019-11-10,100.7771
4577,2019-11-11,100.7771
4578,2019-11-12,100.7771
4579,2019-11-13,100.7771
4580,2019-11-14,100.7771
4581,2019-11-15,100.7771
4582,2019-11-16,100.7771
4583,2019-11-17,100.7771
4584,2019-11-18,100.7771
4585,2019-11-19,100.7771
4586,2019-11-20,100.7771
4587,2019-11-21,100.7771
4588,2019-11-22,100.7771
4589,2019-11-23,100.7771
4590,2019-11-24,100.7771
4591,2019-11-25,100.7771
4592,2019-11-26,100.7771
4593,2019-11-27,100.7771
4594,2019-11-28,100.7771
4595,2019-11-29,100.7771
4596,2019-11-30,100.7771
4597,2019-12-01,98.37052
4598,2019-12-02,98.37052
4599,2019-12-03,98.37052
4600,2019-12-04,98.37052
4601,2019-12-05,98.37052
4602,2019-12-06,98.37052
4603,2019-12-07,98.37052
4604,2019-12-08,98.37052
4605,2019-12-09,98.37052
4606,2019-12-10,98.37052
4607,2019-12-11,98.37052
4608,2019-12-12,98.37052
4609,2019-12-13,98.37052
4610,2019-12-14,98.37052
4611,2019-12-15,98.37052
4612,2019-12-16,98.37052
4613,2019-12-17,98.37052
4614,2019-12-18,98.37052
4615,2019-12-19,98.37052
4616,2019-12-20,98.37052
